train_no,step_seq,from_station,to_station,booked_srt_min,length_km
12472,20,BRC,BH,52,70.0
12472,21,BH,ST,55,59.0
12472,22,ST,VAPI,69,92.0
12472,23,VAPI,BVI,114,141.0
12472,24,BVI,BDTS,46,18.0
12483,0,KCVL,QLN,60,58.0
12483,1,QLN,KYJ,38,41.0
12483,2,KYJ,ALLP,35,43.0
12483,3,ALLP,ERS,72,57.0
12483,4,ERS,TCR,65,74.0
12483,5,TCR,SRR,52,33.0
12483,6,SRR,CLT,75,86.0
12483,7,CLT,CAN,85,89.0
12483,8,CAN,KGQ,53,86.0
12483,9,KGQ,MAJN,75,47.0
12483,10,MAJN,UD,89,65.0
12483,11,UD,MAO,214,248.0
12483,12,MAO,RN,210,240.0
12483,13,RN,CHI,70,78.0
12483,14,CHI,PNVL,278,205.0
12483,15,PNVL,BSR,100,66.0
12483,16,BSR,ST,172,215.0
12483,17,ST,BRC,108,129.0
12483,18,BRC,KOTA,539,527.0
12483,19,KOTA,NZM,460,448.0
12483,20,NZM,NDLS,38,7.0
12483,21,NDLS,UMB,180,199.0
12483,22,UMB,LDH,122,113.0
12483,23,LDH,JUC,53,57.0
12483,24,JUC,BEAS,32,37.0
12483,25,BEAS,ASR,56,42.0
12484,0,ASR,BEAS,28,42.0
12484,1,BEAS,JUC,40,36.0
12484,2,JUC,LDH,55,57.0
12484,3,LDH,UMB,110,114.0
12484,4,UMB,NDLS,180,198.0
12484,5,NDLS,NZM,13,7.0
12484,6,NZM,KOTA,345,450.0
12484,7,KOTA,BRC,497,528.0
12484,8,BRC,ST,116,129.0
12484,9,ST,BSR,260,215.0
12484,10,BSR,PNVL,70,66.0
12484,11,PNVL,CHI,209,205.0
12484,12,CHI,RN,119,76.0
12484,13,RN,MAO,190,238.0
12484,14,MAO,UD,268,250.0
12484,15,UD,MAJN,80,62.0
12484,16,MAJN,KGQ,38,47.0
12484,17,KGQ,CAN,75,86.0
12484,18,CAN,CLT,65,89.0
12484,19,CLT,SRR,110,86.0
12484,20,SRR,TCR,52,34.0
12484,21,TCR,ERS,110,73.0
12484,22,ERS,ALLP,65,57.0
12484,23,ALLP,KYJ,52,44.0
12484,24,KYJ,QLN,43,41.0
12484,25,QLN,KCVL,75,58.0
12493,0,PUNE,LNL,53,63.0
12493,1,LNL,KYN,97,75.0
12493,2,KYN,BSR,70,41.0
12493,3,BSR,VAPI,91,122.0
12493,4,VAPI,ST,87,93.0
12493,5,ST,BRC,103,129.0
12493,6,BRC,RTM,247,261.0
12493,7,RTM,KOTA,220,266.0
12493,8,KOTA,NZM,435,448.0
12494,0,NZM,KOTA,325,450.0
12494,1,KOTA,RTM,240,265.0
12494,2,RTM,BRC,220,263.0
12494,3,BRC,ST,122,128.0
12494,4,ST,VAPI,76,93.0
12494,5,VAPI,BSR,110,122.0
12494,6,BSR,KYN,77,41.0
12494,7,KYN,LNL,107,75.0
12494,8,LNL,PUNE,105,64.0
12903,0,BCT,BVI,32,29.0
12903,1,BVI,ST,179,233.0
12903,2,ST,BRC,101,129.0
12903,3,BRC,GDA,74,72.0
12903,4,GDA,DHD,53,74.0
12903,5,DHD,MGN,22,33.0
12903,6,MGN,RTM,94,82.0
12903,7,RTM,NAD,55,45.0
12903,8,NAD,SGZ,60,91.0
12903,9,SGZ,BWM,25,30.0
12903,10,BWM,KOTA,80,100.0
12903,11,KOTA,SWM,80,108.0
12903,12,SWM,GGC,50,63.0
12903,13,GGC,SMBJ,23,30.0
12903,14,SMBJ,HAN,10,11.0
12903,15,HAN,BXN,26,32.0
12903,16,BXN,BTE,30,42.0
12903,17,BTE,MTJ,73,34.0
12903,18,MTJ,FDB,104,110.0
12903,19,FDB,NZM,39,18.0
12903,20,NZM,GZB,51,28.0
12903,21,GZB,MTC,72,47.0
12903,22,MTC,MUT,5,4.0
12903,23,MUT,MOZ,34,51.0
12903,24,MOZ,SRE,82,58.0
12903,25,SRE,YJUD,27,31.0
12903,26,YJUD,UMB,50,51.0
12903,27,UMB,LDH,102,113.0
12903,28,LDH,PGW,31,36.0
12903,29,PGW,JRC,16,16.0
12903,30,JRC,JUC,14,5.0
12903,31,JUC,BEAS,32,36.0
12903,32,BEAS,ASR,59,43.0
12904,0,ASR,BEAS,28,42.0
12904,1,BEAS,JUC,37,36.0
12904,2,JUC,JRC,8,5.0
12904,3,JRC,PGW,15,16.0
12904,4,PGW,LDH,44,36.0
12904,5,LDH,UMB,111,114.0
12904,6,UMB,YJUD,38,51.0
12904,7,YJUD,SRE,50,30.0
12904,8,SRE,MOZ,43,58.0
12904,9,MOZ,MUT,34,51.0
12904,10,MUT,MTC,9,4.0
12904,11,MTC,GZB,63,48.0
12904,12,GZB,NZM,45,27.0
12904,13,NZM,FDB,18,18.0
12904,14,FDB,MTJ,135,112.0
12904,15,MTJ,BTE,29,34.0
12904,16,BTE,BXN,29,42.0
12904,17,BXN,HAN,24,33.0
12904,18,HAN,SMBJ,10,10.0
12904,19,SMBJ,GGC,32,30.0
12904,20,GGC,SWM,45,64.0
12904,21,SWM,KOTA,80,107.0
12904,22,KOTA,BWM,80,101.0
12904,23,BWM,SGZ,24,29.0
12904,24,SGZ,NAD,102,91.0
12904,25,NAD,RTM,58,45.0
12904,26,RTM,MGN,62,82.0
12904,27,MGN,DHD,24,33.0
12904,28,DHD,GDA,75,75.0
12904,29,GDA,BRC,61,72.0
12904,30,BRC,ST,96,129.0
12904,31,ST,BVI,196,233.0
12904,32,BVI,DDR,37,24.0
12904,33,DDR,BCT,21,6.0
12907,0,BDTS,BVI,30,18.0
12907,1,BVI,BRC,353,362.0
12907,2,BRC,KOTA,428,527.0
12907,3,KOTA,NZM,435,448.0
12908,0,NZM,KOTA,325,450.0
12908,1,KOTA,BRC,465,528.0
12908,2,BRC,BVI,282,361.0
12908,3,BVI,BDTS,44,19.0
12909,0,BDTS,BVI,32,18.0
12909,1,BVI,ST,176,233.0
12909,2,ST,BRC,86,129.0
12909,3,BRC,DHD,106,147.0
12909,4,DHD,RTM,92,115.0
12909,5,RTM,KOTA,150,265.0
12909,6,KOTA,MTJ,220,320.0
12909,7,MTJ,NZM,133,128.0
12910,0,NZM,MTJ,95,130.0
12910,1,MTJ,KOTA,173,320.0
12910,2,KOTA,RTM,190,265.0
12910,3,RTM,DHD,84,115.0
12910,4,DHD,BRC,127,148.0
12910,5,BRC,ST,98,128.0
12910,6,ST,BVI,146,233.0
12910,7,BVI,BDTS,47,19.0
12911,0,BL,NVS,28,39.0
12911,1,NVS,ST,35,29.0
12911,2,ST,AKV,34,50.0
12911,3,AKV,BRC,81,79.0
12911,4,BRC,GDA,76,73.0
12911,5,GDA,DHD,53,74.0
12911,6,DHD,RTM,100,115.0
12911,7,RTM,KOTA,220,265.0
12911,8,KOTA,SWM,73,108.0
12911,9,SWM,BTE,192,179.0
12911,10,BTE,NZM,201,161.0
12911,11,NZM,GZB,40,28.0
12911,12,GZB,MTC,43,47.0
12911,13,MTC,RK,136,139.0
12911,14,RK,HW,115,41.0
12912,0,HW,RK,53,41.0
12912,1,RK,MTC,118,139.0
12912,2,MTC,GZB,50,47.0
12912,3,GZB,NZM,38,27.0
12912,4,NZM,BTE,171,164.0
12912,5,BTE,SWM,140,179.0
12912,6,SWM,KOTA,80,108.0
12912,7,KOTA,RTM,265,265.0
12912,8,RTM,DHD,83,115.0
12912,9,DHD,GDA,90,75.0
12912,10,GDA,BRC,70,72.0
12912,11,BRC,AKV,70,80.0
12912,12,AKV,ST,41,49.0
12912,13,ST,NVS,25,30.0
12912,14,NVS,BL,43,39.0
12925,0,BDTS,ADH,14,6.0
12925,1,ADH,BVI,17,12.0
12925,2,BVI,DRD,73,90.0
12925,3,DRD,VAPI,31,50.0
12925,4,VAPI,BL,23,24.0
12925,5,BL,NVS,39,40.0
12925,6,NVS,ST,40,29.0
12925,7,ST,BH,44,59.0
12925,8,BH,BRC,57,70.0
12925,9,BRC,GDA,65,73.0
12925,10,GDA,DHD,53,74.0
12925,11,DHD,MGN,22,33.0
12925,12,MGN,RTM,101,82.0
12925,13,RTM,NAD,53,44.0
12925,14,NAD,SGZ,59,92.0
12925,15,SGZ,RMA,42,57.0
12925,16,RMA,KOTA,60,72.0
12925,17,KOTA,SWM,93,108.0
12925,18,SWM,GGC,50,63.0
12925,19,GGC,HAN,31,41.0
12925,20,HAN,BXN,33,33.0
12925,21,BXN,BTE,30,41.0
12925,22,BTE,MTJ,83,34.0
12925,23,MTJ,FDB,99,111.0
12925,24,FDB,NZM,32,17.0
12925,25,NZM,NDLS,35,7.0
12925,26,NDLS,SZM,14,4.0
12925,27,SZM,SNP,29,41.0
12925,28,SNP,PNP,33,45.0
12925,29,PNP,KUN,23,34.0
12925,30,KUN,KKDE,26,33.0
12925,31,KKDE,UMB,80,42.0
12925,32,UMB,UBC,12,7.0
12925,33,UBC,SIR,33,46.0
12925,34,SIR,KNN,13,18.0
12925,35,KNN,LDH,49,42.0
12925,36,LDH,PGW,27,36.0
12925,37,PGW,JRC,16,17.0
12925,38,JRC,JUC,14,4.0
12925,39,JUC,BEAS,32,36.0
12925,40,BEAS,ASR,48,43.0
12926,0,ASR,BEAS,28,42.0
12926,1,BEAS,JUC,35,36.0
12926,2,JUC,JRC,8,5.0
12926,3,JRC,PGW,13,16.0
12926,4,PGW,LDH,40,36.0
12926,5,LDH,KNN,40,42.0
12926,6,KNN,SIR,16,18.0
12926,7,SIR,UBC,35,46.0
12926,8,UBC,UMB,23,8.0
12926,9,UMB,KKDE,33,41.0
12926,10,KKDE,KUN,26,33.0
12926,11,KUN,PNP,28,35.0
12926,12,PNP,SNP,38,45.0
12926,13,SNP,SZM,36,40.0
12926,14,SZM,NDLS,29,4.0
12926,15,NDLS,FDB,27,25.0
12926,16,FDB,MTJ,116,112.0
12926,17,MTJ,BTE,25,34.0
12926,18,BTE,BXN,29,42.0
12926,19,BXN,HAN,23,33.0
12926,20,HAN,GGC,35,40.0
12926,21,GGC,SWM,45,64.0
12926,22,SWM,KOTA,85,107.0
12926,23,KOTA,RMA,53,73.0
12926,24,RMA,SGZ,40,57.0
12926,25,SGZ,NAD,121,91.0
12926,26,NAD,RTM,40,45.0
12926,27,RTM,MGN,72,82.0
12926,28,MGN,DHD,24,33.0
12926,29,DHD,GDA,86,74.0
12926,30,GDA,BRC,58,73.0
12926,31,BRC,BH,50,70.0
12926,32,BH,ST,57,59.0
12926,33,ST,NVS,28,30.0
12926,34,NVS,BL,38,39.0
12926,35,BL,VAPI,20,24.0
12926,36,VAPI,DRD,40,50.0
12926,37,DRD,BVI,80,90.0
12926,38,BVI,ADH,19,12.0
12926,39,ADH,BDTS,26,7.0
12951,0,BCT,BVI,30,29.0
12951,1,BVI,ST,141,233.0
12951,2,ST,BRC,80,129.0
12951,3,BRC,RTM,189,261.0
12951,4,RTM,NAD,38,45.0
12951,5,NAD,KOTA,120,221.0
12951,6,KOTA,NDLS,310,455.0
12952,0,NDLS,KOTA,275,457.0
12952,1,KOTA,NAD,150,221.0
12952,2,NAD,RTM,28,45.0
12952,3,RTM,BRC,196,262.0
12952,4,BRC,ST,84,129.0
12952,5,ST,BVI,144,232.0
12952,6,BVI,BCT,46,30.0
12953,0,BCT,ADH,22,17.0
12953,1,ADH,BVI,13,12.0
12953,2,BVI,VAPI,81,140.0
12953,3,VAPI,BL,20,24.0
12953,4,BL,ST,45,69.0
12953,5,ST,BH,37,59.0
12953,6,BH,BRC,48,70.0
12953,7,BRC,RTM,227,261.0
12953,8,RTM,KOTA,170,266.0
12953,9,KOTA,SWM,66,108.0
12953,10,SWM,MTJ,152,212.0
12953,11,MTJ,NZM,113,128.0
12954,0,NZM,MTJ,108,130.0
12954,1,MTJ,SWM,116,212.0
12954,2,SWM,KOTA,62,108.0
12954,3,KOTA,RTM,183,265.0
12954,4,RTM,BRC,198,263.0
12954,5,BRC,BH,42,70.0
12954,6,BH,ST,50,58.0
12954,7,ST,BL,43,69.0
12954,8,BL,VAPI,17,24.0
12954,9,VAPI,BVI,109,140.0
12954,10,BVI,ADH,14,12.0
12954,11,ADH,BCT,33,18.0
19019,0,BDTS,BVI,30,18.0
19019,1,BVI,BSR,23,18.0
19019,2,BSR,PLG,30,39.0
19019,3,PLG,DRD,38,33.0
19019,4,DRD,VAPI,32,50.0
19019,5,VAPI,BL,29,24.0
19019,6,BL,BIM,19,19.0
19019,7,BIM,NVS,16,21.0
19019,8,NVS,ST,36,29.0
19019,9,ST,KSB,25,31.0
19019,10,KSB,AKV,13,18.0
19019,11,AKV,BH,13,10.0
19019,12,BH,MYG,28,40.0
19019,13,MYG,BRC,35,30.0
19019,14,BRC,SMLA,22,26.0
19019,15,SMLA,CPN,10,11.0
19019,16,CPN,DRL,11,13.0
19019,17,DRL,KRSA,10,12.0
19019,18,KRSA,GDA,24,11.0
19019,19,GDA,SAT,20,21.0
19019,20,SAT,PPD,11,12.0
19019,21,PPD,LMK,7,8.0
19019,22,LMK,MAM,10,10.0
19019,23,MAM,DHD,19,23.0
19019,24,DHD,BIO,13,10.0
19019,25,BIO,ANAS,7,8.0
19019,26,ANAS,MGN,16,15.0
19019,27,MGN,THDR,10,8.0
19019,28,THDR,PCN,13,14.0
19019,29,PCN,AGR,11,9.0
19019,30,AGR,BMI,4,4.0
19019,31,BMI,BOG,9,6.0
19019,32,BOG,RTI,11,12.0
19019,33,RTI,BILD,8,7.0
19019,34,BILD,MRN,9,9.0
19019,35,MRN,RTM,38,13.0
19019,36,RTM,BOD,11,13.0
19019,37,BOD,RNH,8,7.0
19019,38,RNH,KUH,10,10.0
19019,39,KUH,NAD,62,14.0
19019,40,NAD,MEP,14,17.0
19019,41,MEP,LNR,10,11.0
19019,42,LNR,VMA,10,12.0
19019,43,VMA,THUR,8,8.0
19019,44,THUR,CMU,13,15.0
19019,45,CMU,SVA,15,15.0
19019,46,SVA,SGZ,16,14.0
19019,47,SGZ,GOH,10,10.0
19019,48,GOH,BWM,19,19.0
19019,49,BWM,JHW,15,16.0
19019,50,JHW,RMA,23,12.0
19019,51,RMA,MKX,10,10.0
19019,52,MKX,DARA,16,15.0
19019,53,DARA,DKNT,30,38.0
19019,54,DKNT,KOTA,50,9.0
19019,55,KOTA,GQL,11,6.0
19019,56,GQL,KPTN,8,8.0
19019,57,KPTN,KPZ,15,20.0
19019,58,KPZ,LKE,20,27.0
19019,59,LKE,IDG,13,11.0
19019,60,IDG,SWM,28,36.0
19019,61,SWM,MLZ,23,30.0
19019,62,MLZ,NNW,15,17.0
19019,63,NNW,GGC,28,16.0
19019,64,GGC,SMBJ,25,31.0
19019,65,SMBJ,HAN,13,10.0
19019,66,HAN,FSP,10,13.0
19019,67,FSP,BXN,24,20.0
19019,68,BXN,BTE,45,41.0
19019,69,BTE,MTJ,100,34.0
19019,70,MTJ,KSV,31,40.0
19019,71,KSV,PWL,55,41.0
19019,72,PWL,AST,11,12.0
19019,73,AST,BVH,10,10.0
19019,74,BVH,FDB,11,8.0
19019,75,FDB,TKD,20,10.0
19019,76,TKD,OKA,7,3.0
19019,77,OKA,NZM,21,4.0
19019,78,NZM,SBB,28,21.0
19019,79,SBB,GZB,18,7.0
19019,80,GZB,GZN,9,6.0
19019,81,GZN,MUD,10,11.0
19019,82,MUD,MDNR,7,10.0
19019,83,MDNR,MTC,24,20.0
19019,84,MTC,MUT,5,4.0
19019,85,MUT,KAT,21,29.0
19019,86,KAT,MOZ,49,22.0
19019,87,MOZ,DBD,98,24.0
19019,88,DBD,SRE,64,35.0
19019,89,SRE,RK,30,34.0
19019,90,RK,LRJ,23,19.0
19019,91,LRJ,JWP,22,23.0
19019,92,JWP,HW,11,4.0
19019,93,HW,MOTC,11,4.0
19019,94,MOTC,RWL,14,7.0
19019,95,RWL,DWO,47,21.0
19019,96,DWO,DDN,67,20.0
19020,0,DDN,DWO,29,19.0
19020,1,DWO,RWL,35,21.0
19020,2,RWL,MOTC,15,7.0
19020,3,MOTC,HW,30,4.0
19020,4,HW,JWP,6,4.0
19020,5,JWP,LRJ,82,23.0
19020,6,LRJ,RK,15,19.0
19020,7,RK,SRE,50,34.0
19020,8,SRE,DBD,28,35.0
19020,9,DBD,MOZ,18,24.0
19020,10,MOZ,KAT,37,22.0
19020,11,KAT,MUT,37,29.0
19020,12,MUT,MTC,12,4.0
19020,13,MTC,MDNR,16,20.0
19020,14,MDNR,MUD,11,10.0
19020,15,MUD,GZN,15,11.0
19020,16,GZN,GZB,28,6.0
19020,17,GZB,SBB,8,7.0
19020,18,SBB,NZM,38,21.0
19020,19,NZM,TKD,28,7.0
19020,20,TKD,FDB,14,10.0
19020,21,FDB,BVH,12,8.0
19020,22,BVH,PWL,46,22.0
19020,23,PWL,KSV,30,42.0
19020,24,KSV,MTJ,80,41.0
19020,25,MTJ,BTE,33,34.0
19020,26,BTE,BXN,30,41.0
19020,27,BXN,FSP,18,20.0
19020,28,FSP,HAN,13,13.0
19020,29,HAN,SMBJ,10,10.0
19020,30,SMBJ,GGC,43,31.0
19020,31,GGC,NNW,16,17.0
19020,32,NNW,MLZ,15,16.0
19020,33,MLZ,SWM,25,30.0
19020,34,SWM,IDG,28,37.0
19020,35,IDG,LKE,10,10.0
19020,36,LKE,KPZ,21,28.0
19020,37,KPZ,KPTN,18,20.0
19020,38,KPTN,GQL,9,7.0
19020,39,GQL,KOTA,35,6.0
19020,40,KOTA,DKNT,16,9.0
19020,41,DKNT,DARA,29,39.0
19020,42,DARA,MKX,16,14.0
19020,43,MKX,RMA,11,10.0
19020,44,RMA,JHW,13,12.0
19020,45,JHW,BWM,23,16.0
19020,46,BWM,GOH,18,19.0
19020,47,GOH,SGZ,10,11.0
19020,48,SGZ,SVA,14,13.0
19020,49,SVA,CMU,14,16.0
19020,50,CMU,THUR,19,14.0
19020,51,THUR,VMA,15,8.0
19020,52,VMA,LNR,18,13.0
19020,53,LNR,MEP,15,10.0
19020,54,MEP,NAD,50,17.0
19020,55,NAD,KUH,11,14.0
19020,56,KUH,RNH,14,10.0
19020,57,RNH,BOD,8,8.0
19020,58,BOD,RTM,23,13.0
19020,59,RTM,RTI,23,28.0
19020,60,RTI,BOG,12,12.0
19020,61,BOG,BMI,8,6.0
19020,62,BMI,AGR,7,4.0
19020,63,AGR,PCN,12,10.0
19020,64,PCN,THDR,12,14.0
19020,65,THDR,MGN,13,8.0
19020,66,MGN,ANAS,13,14.0
19020,67,ANAS,BIO,7,8.0
19020,68,BIO,DHD,11,11.0
19020,69,DHD,LMK,31,34.0
19020,70,LMK,PPD,8,8.0
19020,71,PPD,SAT,10,12.0
19020,72,SAT,GDA,47,20.0
19020,73,GDA,KRSA,11,11.0
19020,74,KRSA,DRL,10,12.0
19020,75,DRL,CPN,12,13.0
19020,76,CPN,SMLA,10,11.0
19020,77,SMLA,BRC,50,26.0
19020,78,BRC,MYG,21,30.0
19020,79,MYG,BH,40,40.0
19020,80,BH,AKV,9,9.0
19020,81,AKV,KSB,14,19.0
19020,82,KSB,ST,32,31.0
19020,83,ST,NVS,32,29.0
19020,84,NVS,BIM,19,21.0
19020,85,BIM,BL,22,18.0
19020,86,BL,VAPI,41,24.0
19020,87,VAPI,PLG,92,84.0
19020,88,PLG,VR,56,31.0
19020,89,VR,BVI,27,26.0
19020,90,BVI,BDTS,48,18.0
19023,0,BCT,DDR,9,5.0
19023,1,DDR,BVI,27,24.0
19023,2,BVI,PLG,61,57.0
19023,3,PLG,BOR,8,12.0
19023,4,BOR,VGN,17,9.0
19023,5,VGN,DRD,14,12.0
19023,6,DRD,UBR,16,20.0
19023,7,UBR,SJN,8,5.0
19023,8,SJN,BLD,10,12.0
19023,9,BLD,VAPI,9,13.0
19023,10,VAPI,UVD,12,8.0
19023,11,UVD,PAD,6,6.0
19023,12,PAD,BL,18,10.0
19023,13,BL,BIM,9,18.0
19023,14,BIM,AML,9,6.0
19023,15,AML,NVS,10,15.0
19023,16,NVS,MRL,11,9.0
19023,17,MRL,ST,47,21.0
19023,18,ST,KIM,19,23.0
19023,19,KIM,KSB,9,8.0
19023,20,KSB,PAO,8,8.0
19023,21,PAO,AKV,9,10.0
19023,22,AKV,BH,10,10.0
19023,23,BH,NIU,15,12.0
19023,24,NIU,PLJ,11,13.0
19023,25,PLJ,MYG,14,15.0
19023,26,MYG,BRC,32,30.0
19023,27,BRC,SMLA,23,25.0
19023,28,SMLA,DRL,21,24.0
19023,29,DRL,GDA,30,23.0
19023,30,GDA,SAT,20,21.0
19023,31,SAT,PPD,11,12.0
19023,32,PPD,LMK,7,8.0
19023,33,LMK,DHD,26,33.0
19023,34,DHD,MGN,26,33.0
19023,35,MGN,THDR,9,9.0
19023,36,THDR,BMI,23,27.0
19023,37,BMI,RTM,66,46.0
19023,38,RTM,KUH,23,31.0
19023,39,KUH,NAD,40,14.0
19023,40,NAD,MEP,15,17.0
19023,41,MEP,VMA,16,23.0
19023,42,VMA,CMU,16,22.0
19023,43,CMU,SVA,14,16.0
19023,44,SVA,SGZ,14,13.0
19023,45,SGZ,BWM,23,30.0
19023,46,BWM,JHW,16,16.0
19023,47,JHW,RMA,10,12.0
19023,48,RMA,KOTA,60,72.0
19023,49,KOTA,LKE,48,61.0
19023,50,LKE,IDG,13,11.0
19023,51,IDG,SWM,33,36.0
19023,52,SWM,MLZ,23,30.0
19023,53,MLZ,NNW,23,16.0
19023,54,NNW,GGC,98,17.0
19023,55,GGC,SMBJ,34,30.0
19023,56,SMBJ,HAN,10,11.0
19023,57,HAN,FSP,10,13.0
19023,58,FSP,BXN,18,19.0
19023,59,BXN,BTE,35,42.0
19023,60,BTE,MTJ,100,34.0
19023,61,MTJ,CHJ,25,30.0
19023,62,CHJ,KSV,11,10.0
19023,63,KSV,PWL,48,41.0
19023,64,PWL,BVH,18,21.0
19023,65,BVH,FDB,11,8.0
19023,66,FDB,TKD,12,11.0
19023,67,TKD,OKA,10,3.0
19023,68,OKA,NZM,9,4.0
19023,69,NZM,NDLS,30,7.0
19023,70,NDLS,DKZ,15,4.0
19023,71,DKZ,SSB,16,8.0
19023,72,SSB,NNO,10,7.0
19023,73,NNO,BGZ,13,12.0
19023,74,BGZ,SPZ,16,18.0
19023,75,SPZ,ROK,45,22.0
19023,76,ROK,JNA,24,32.0
19023,77,JNA,JIND,29,25.0
19023,78,JIND,UCA,14,19.0
19023,79,UCA,NRW,13,15.0
19023,80,NRW,TUN,21,26.0
19023,81,TUN,JHL,26,12.0
19023,82,JHL,BRZ,10,14.0
19023,83,BRZ,BLZ,12,16.0
19023,84,BLZ,MSZ,13,16.0
19023,85,MSZ,KTKL,12,11.0
19023,86,KTKL,MAUR,7,8.0
19023,87,MAUR,BTI,57,33.0
19023,88,BTI,GNA,11,12.0
19023,89,GNA,GJUT,15,15.0
19023,90,GJUT,KKP,20,16.0
19023,91,KKP,FDK,11,12.0
19023,92,FDK,FZR,65,33.0
19024,0,FZR,FDK,25,32.0
19024,1,FDK,KKP,16,12.0
19024,2,KKP,GJUT,13,16.0
19024,3,GJUT,GNA,16,15.0
19024,4,GNA,BTI,29,12.0
19024,5,BTI,MAUR,26,34.0
19024,6,MAUR,KTKL,8,7.0
19024,7,KTKL,MSZ,11,12.0
19024,8,MSZ,BLZ,14,16.0
19024,9,BLZ,BRZ,12,15.0
19024,10,BRZ,JHL,13,14.0
19024,11,JHL,TUN,11,12.0
19024,12,TUN,NRW,20,26.0
19024,13,NRW,UCA,14,15.0
19024,14,UCA,JIND,18,19.0
19024,15,JIND,JNA,20,25.0
19024,16,JNA,ROK,33,32.0
19024,17,ROK,ISM,15,19.0
19024,18,ISM,SPZ,6,3.0
19024,19,SPZ,BGZ,14,18.0
19024,20,BGZ,NNO,11,13.0
19024,21,NNO,MGLP,5,3.0
19024,22,MGLP,SSB,23,4.0
19024,23,SSB,DKZ,13,7.0
19024,24,DKZ,NDLS,24,4.0
19024,25,NDLS,NZM,15,7.0
19024,26,NZM,OKA,5,4.0
19024,27,OKA,TKD,8,4.0
19024,28,TKD,FDB,12,10.0
19024,29,FDB,BVH,11,8.0
19024,30,BVH,PWL,47,21.0
19024,31,PWL,KSV,30,42.0
19024,32,KSV,CHJ,11,11.0
19024,33,CHJ,MTJ,50,30.0
19024,34,MTJ,BTE,25,34.0
19024,35,BTE,BXN,30,42.0
19024,36,BXN,FSP,18,20.0
19024,37,FSP,HAN,15,13.0
19024,38,HAN,SMBJ,10,10.0
19024,39,SMBJ,GGC,41,30.0
19024,40,GGC,NNW,16,17.0
19024,41,NNW,MLZ,16,17.0
19024,42,MLZ,SWM,50,30.0
19024,43,SWM,IDG,30,36.0
19024,44,IDG,LKE,10,11.0
19024,45,LKE,KOTA,83,60.0
19024,46,KOTA,RMA,63,73.0
19024,47,RMA,JHW,13,11.0
19024,48,JHW,BWM,28,17.0
19024,49,BWM,SGZ,25,29.0
19024,50,SGZ,SVA,18,14.0
19024,51,SVA,CMU,23,15.0
19024,52,CMU,VMA,3,23.0
19024,53,VMA,MEP,44,23.0
19024,54,MEP,NAD,50,16.0
19024,55,NAD,KUH,11,14.0
19024,56,KUH,RTM,42,31.0
19024,57,RTM,BMI,37,47.0
19024,58,BMI,THDR,24,27.0
19024,59,THDR,MGN,9,8.0
19024,60,MGN,DHD,25,33.0
19024,61,DHD,LMK,31,34.0
19024,62,LMK,PPD,8,8.0
19024,63,PPD,SAT,10,12.0
19024,64,SAT,GDA,48,21.0
19024,65,GDA,DRL,18,23.0
19024,66,DRL,SMLA,18,24.0
19024,67,SMLA,BRC,32,25.0
19024,68,BRC,MYG,21,30.0
